action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,210878,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '24.46', 'le': '0.45', 'lle': '5.85', 'sei': '7.29'}",CHEMBL7492,PIRITREXIM,CHEMBL7492,7.96,1,http://www.openphacts.org/units/Nanomolar,197540,=,1,1,=,,IC50,nM,,11.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,0.011
,,213245,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(CCCc2csc3nc(N)nc(N)c23)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '12.37', 'le': '0.24', 'lle': '1.21', 'sei': '4.42'}",CHEMBL104379,,CHEMBL104379,4.26,0,http://www.openphacts.org/units/Nanomolar,197530,=,1,1,=,,IC50,nM,,55000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,55.0
,,213246,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(CCCc2csc3nc(N)nc(N)c23)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '13.41', 'le': '0.26', 'lle': '1.57', 'sei': '4.80'}",CHEMBL104379,,CHEMBL104379,4.62,0,http://www.openphacts.org/units/Nanomolar,197530,=,1,1,=,,IC50,nM,,24000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,24.0
,,214410,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(-c2sc3nc(N)nc(N)c3c2C)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '16.81', 'le': '0.33', 'lle': '2.47', 'sei': '5.52'}",CHEMBL323960,,CHEMBL323960,5.32,0,http://www.openphacts.org/units/Nanomolar,197527,=,1,1,=,,IC50,nM,,4800.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,4.8
,,214411,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(-c2sc3nc(N)nc(N)c3c2C)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '21.76', 'le': '0.43', 'lle': '4.04', 'sei': '7.15'}",CHEMBL323960,,CHEMBL323960,6.89,0,http://www.openphacts.org/units/Nanomolar,197527,=,1,1,=,,IC50,nM,,130.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,0.13
,,215601,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(CCc2sc3nc(N)nc(N)c3c2C)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '17.19', 'le': '0.34', 'lle': '2.95', 'sei': '6.15'}",CHEMBL322585,,CHEMBL322585,5.92,0,http://www.openphacts.org/units/Nanomolar,197545,=,1,1,=,,IC50,nM,,1200.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,1.2
,,215602,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(CCc2sc3nc(N)nc(N)c3c2C)c1,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '15.91', 'le': '0.31', 'lle': '2.51', 'sei': '5.69'}",CHEMBL322585,,CHEMBL322585,5.48,0,http://www.openphacts.org/units/Nanomolar,197545,=,1,1,=,,IC50,nM,,3300.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,3.3
,,216774,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Cc2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,,CHEMBL1126852,J Med Chem,1993,,CHEMBL322315,,CHEMBL322315,,0,http://www.openphacts.org/units/Nanomolar,197544,>,1,1,>,,IC50,nM,,8000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,8.0
,,216775,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Cc2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '17.20', 'le': '0.34', 'lle': '3.42', 'sei': '5.88'}",CHEMBL322315,,CHEMBL322315,6.20,0,http://www.openphacts.org/units/Nanomolar,197544,=,1,1,=,,IC50,nM,,630.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,0.63
,,216778,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1sc2nc(N)nc(N)c2c1-c1ccc(Cl)cc1,,,CHEMBL1126852,J Med Chem,1993,,CHEMBL107079,,CHEMBL107079,,0,http://www.openphacts.org/units/Nanomolar,197537,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,100.0
,,216779,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1sc2nc(N)nc(N)c2c1-c1ccc(Cl)cc1,,,CHEMBL1126852,J Med Chem,1993,,CHEMBL107079,,CHEMBL107079,,0,http://www.openphacts.org/units/Nanomolar,197537,>,1,1,>,,IC50,nM,,70000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,70.0
,,218046,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(CCc2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,,CHEMBL1126852,J Med Chem,1993,,CHEMBL322861,,CHEMBL322861,,0,http://www.openphacts.org/units/Nanomolar,197529,>,1,1,>,,IC50,nM,,8000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,8.0
,,218047,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(CCc2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '12.67', 'le': '0.25', 'lle': '1.76', 'sei': '4.50'}",CHEMBL322861,,CHEMBL322861,4.75,0,http://www.openphacts.org/units/Nanomolar,197529,=,1,1,=,,IC50,nM,,18000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,18.0
,,219182,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c3c(sc2n1)CCCCCCCCCC3,,,CHEMBL1126852,J Med Chem,1993,,CHEMBL104770,,CHEMBL104770,,0,http://www.openphacts.org/units/Nanomolar,197532,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,50.0
,,220402,[],CHEMBL664436,Inhibition of dihydrofolate reductase in pneumocystis carinii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '19.97', 'le': '0.37', 'lle': '4.64', 'sei': '6.28'}",CHEMBL119,TRIMETREXATE,CHEMBL119,7.38,1,http://www.openphacts.org/units/Nanomolar,197541,=,1,1,=,,IC50,nM,,42.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,0.042
,,220403,[],CHEMBL665618,Inhibition of dihydrofolate reductase in Toxoplasma gondii.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,,CHEMBL1126852,J Med Chem,1993,"{'bei': '21.65', 'le': '0.40', 'lle': '5.26', 'sei': '6.81'}",CHEMBL119,TRIMETREXATE,CHEMBL119,8.00,1,http://www.openphacts.org/units/Nanomolar,197541,=,1,1,=,,IC50,nM,,10.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,IC50,uM,UO_0000065,,0.01
,,223417,[],CHEMBL668340,In vitro inhibition of Escherichia coli (B41) Dihydrofolate reductase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCc1cccc2nc(N)nc(N)c12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124963,J Med Chem,1990,,CHEMBL140245,,CHEMBL140245,,0,http://www.openphacts.org/units/Nanomolar,266812,=,1,1,=,,IC50,nM,,158489319.25,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,Log 1/I50,,UO_0000065,,0.8
,,223423,[],CHEMBL668340,In vitro inhibition of Escherichia coli (B41) Dihydrofolate reductase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCSc1cccc2nc(N)nc(N)c12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124963,J Med Chem,1990,,CHEMBL344047,,CHEMBL344047,,0,http://www.openphacts.org/units/Nanomolar,266807,=,1,1,=,,IC50,nM,,630957344.48,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,Log 1/I50,,UO_0000065,,0.2
,,224809,[],CHEMBL668340,In vitro inhibition of Escherichia coli (B41) Dihydrofolate reductase.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c(Cl)cccc2n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124963,J Med Chem,1990,,CHEMBL266320,,CHEMBL266320,,0,http://www.openphacts.org/units/Nanomolar,266811,=,1,1,=,,IC50,nM,,100000000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,Log 1/I50,,UO_0000065,,1.0
,,224817,[],CHEMBL668340,In vitro inhibition of Escherichia coli (B41) Dihydrofolate reductase.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c(I)cccc2n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124963,J Med Chem,1990,,CHEMBL136771,,CHEMBL136771,,0,http://www.openphacts.org/units/Nanomolar,266808,=,1,1,=,,IC50,nM,,630957344.48,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,Log 1/I50,,UO_0000065,,0.2
,,226038,[],CHEMBL668340,In vitro inhibition of Escherichia coli (B41) Dihydrofolate reductase.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c(OCc3ccccc3)cccc2n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124963,J Med Chem,1990,,CHEMBL342595,,CHEMBL342595,,0,http://www.openphacts.org/units/Nanomolar,266816,<,1,1,>,,IC50,nM,,1000000000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,Log 1/I50,,UO_0000065,,0.0
,,226167,[],CHEMBL668611,In vitro inhibition of Escherichia coli (B41) Dihydrofolate reductase.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(N)c2c(S(=O)(=O)c3ccccc3)cccc2n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124963,J Med Chem,1990,,CHEMBL139392,,CHEMBL139392,,0,http://www.openphacts.org/units/Nanomolar,266823,<,1,1,>,,IC50,nM,,10000000.0,CHEMBL1809,Escherichia coli,Dihydrofolate reductase,562,,,Log 1/I50,,UO_0000065,,2.0
